2026-07-26T00:00:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T10:58:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:00:03Z FATAL [DbCluster] System-wide outage: primary database cluster unreachable, all requests failing
2026-07-26T11:00:47Z FATAL [DbCluster] System-wide outage: primary database cluster unreachable, all requests failing
2026-07-26T11:05:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:05:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:17:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:17:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:29:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:41:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:53:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T11:53:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:00:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:00:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:12:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:12:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:24:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:24:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:36:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T12:48:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:07:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:07:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:19:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:19:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:31:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:31:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:43:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T13:55:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:02:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:14:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:14:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:26:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:26:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:38:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:38:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T14:50:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:09:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:21:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:21:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:33:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:33:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:45:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:45:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T15:57:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:04:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:16:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:28:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:28:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:40:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:40:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:52:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T16:52:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:11:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:23:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:35:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:35:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:47:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:47:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:59:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T17:59:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:06:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:06:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:18:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:30:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:42:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:42:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:54:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T18:54:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:01:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:01:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:13:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:13:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:25:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:37:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:49:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T19:49:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:08:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:08:12Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:20:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:20:00Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:32:48Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:44:36Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:56:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T20:56:24Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:03:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:03:27Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:15:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:15:15Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:27:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:27:03Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:39:51Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T21:51:39Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:10:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:10:30Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:22:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:22:18Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:34:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:34:06Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:46:54Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T22:58:42Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:05:45Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:17:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:17:33Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:29:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:29:21Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:41:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:41:09Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
2026-07-26T23:53:57Z ERROR [MetricsClient] Failed to write metric to collector (non-critical, using local fallback buffer)
